"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1980","23","CO","","06-113-1002","AQS"
"01/02/1980","18","CO","","06-113-1002","AQS"
"01/03/1980","20","CO","","06-113-1002","AQS"
"01/04/1980","17","CO","","06-113-1002","AQS"
"01/05/1980","17","Ozone","","06-113-1002","AQS"
"01/06/1980","18","CO","","06-113-1002","AQS"
"01/07/1980","20","CO","","06-113-1002","AQS"
"01/08/1980","15","CO","","06-113-1002","AQS"
"01/09/1980","31","Ozone","","06-113-1002","AQS"
"01/10/1980","30","Ozone","","06-113-1002","AQS"
"01/11/1980","25","Ozone","","06-113-1002","AQS"
"01/12/1980","23","Ozone","","06-113-1002","AQS"
"01/13/1980","28","Ozone","","06-113-1002","AQS"
"01/14/1980","26","Ozone","","06-113-1002","AQS"
"01/15/1980","26","Ozone","","06-113-1002","AQS"
"01/16/1980","24","Ozone","","06-113-1002","AQS"
"01/17/1980","23","Ozone","","06-113-1002","AQS"
"01/18/1980","31","Ozone","","06-113-1002","AQS"
"01/19/1980","28","Ozone","","06-113-1002","AQS"
"01/20/1980","38","CO","","06-113-1002","AQS"
"01/21/1980","38","CO","","06-113-1002","AQS"
"01/22/1980","33","CO","","06-113-1002","AQS"
"01/23/1980","28","CO","","06-113-1002","AQS"
"01/24/1980","21","Ozone","","06-113-1002","AQS"
"01/25/1980","23","Ozone","","06-113-1002","AQS"
"01/26/1980","16","Ozone","","06-113-1002","AQS"
"01/27/1980","20","Ozone","","06-113-1002","AQS"
"01/28/1980","26","Ozone","","06-113-1002","AQS"
"01/29/1980","31","Ozone","","06-113-1002","AQS"
"01/30/1980","28","Ozone","","06-113-1002","AQS"
"01/31/1980","18","CO","","06-113-1002","AQS"
"02/01/1980","24","CO","","06-113-1002","AQS"
"02/02/1980","24","CO","","06-113-1002","AQS"
"02/03/1980","23","CO","","06-113-1002","AQS"
"02/04/1980","21","Ozone","","06-113-1002","AQS"
"02/05/1980","16","Ozone","","06-113-1002","AQS"
"02/06/1980","33","Ozone","","06-113-1002","AQS"
"02/07/1980","34","Ozone","","06-113-1002","AQS"
"02/08/1980","34","Ozone","","06-113-1002","AQS"
"02/09/1980","47","Ozone","","06-113-1002","AQS"
"02/10/1980","46","Ozone","","06-113-1002","AQS"
"02/11/1980","37","Ozone","","06-113-1002","AQS"
"02/12/1980","39","Ozone","","06-113-1002","AQS"
"02/13/1980","33","Ozone","","06-113-1002","AQS"
"02/14/1980","25","Ozone","","06-113-1002","AQS"
"02/15/1980","29","Ozone","","06-113-1002","AQS"
"02/16/1980","30","Ozone","","06-113-1002","AQS"
"02/17/1980","30","Ozone","","06-113-1002","AQS"
"02/18/1980","35","Ozone","","06-113-1002","AQS"
"02/19/1980","31","Ozone","","06-113-1002","AQS"
"02/20/1980","29","Ozone","","06-113-1002","AQS"
"02/21/1980","32","Ozone","","06-113-1002","AQS"
"02/22/1980","26","Ozone","","06-113-1002","AQS"
"02/23/1980","28","Ozone","","06-113-1002","AQS"
"02/24/1980","24","Ozone","","06-113-1002","AQS"
"02/25/1980","25","Ozone","","06-113-1002","AQS"
"02/26/1980","35","Ozone","","06-113-1002","AQS"
"02/27/1980","33","Ozone","","06-113-1002","AQS"
"02/28/1980","33","Ozone","","06-113-1002","AQS"
"02/29/1980","31","Ozone","","06-113-1002","AQS"
"03/01/1980","17","CO","","06-113-1002","AQS"
"03/02/1980","31","Ozone","","06-113-1002","AQS"
"03/03/1980","28","Ozone","","06-113-1002","AQS"
"03/04/1980","35","Ozone","","06-113-1002","AQS"
"03/05/1980","26","Ozone","","06-113-1002","AQS"
"03/06/1980","32","Ozone","","06-113-1002","AQS"
"03/07/1980","35","Ozone","","06-113-1002","AQS"
"03/08/1980","31","Ozone","","06-113-1002","AQS"
"03/09/1980","30","Ozone","","06-113-1002","AQS"
"03/10/1980","42","Ozone","","06-113-1002","AQS"
"03/11/1980","31","Ozone","","06-113-1002","AQS"
"03/12/1980","37","Ozone","","06-113-1002","AQS"
"03/13/1980","34","Ozone","","06-113-1002","AQS"
"03/14/1980","29","Ozone","","06-113-1002","AQS"
"03/15/1980","29","Ozone","","06-113-1002","AQS"
"03/16/1980","42","Ozone","","06-113-1002","AQS"
"03/17/1980","35","Ozone","","06-113-1002","AQS"
"03/18/1980","34","Ozone","","06-113-1002","AQS"
"03/19/1980","32","Ozone","","06-113-1002","AQS"
"03/20/1980","37","Ozone","","06-113-1002","AQS"
"03/21/1980","40","Ozone","","06-113-1002","AQS"
"03/22/1980","40","Ozone","","06-113-1002","AQS"
"03/23/1980","42","Ozone","","06-113-1002","AQS"
"03/24/1980","39","Ozone","","06-113-1002","AQS"
"03/25/1980","31","Ozone","","06-113-1002","AQS"
"03/26/1980","32","Ozone","","06-113-1002","AQS"
"03/27/1980","39","Ozone","","06-113-1002","AQS"
"03/28/1980","46","Ozone","","06-113-1002","AQS"
"03/29/1980","71","Ozone","","06-113-1002","AQS"
"03/30/1980","37","Ozone","","06-113-1002","AQS"
"03/31/1980","39","Ozone","","06-113-1002","AQS"
"04/01/1980","38","Ozone","","06-113-1002","AQS"
"04/02/1980","43","Ozone","","06-113-1002","AQS"
"04/03/1980","40","Ozone","","06-113-1002","AQS"
"04/04/1980","22","Ozone","","06-113-1002","AQS"
"04/05/1980","40","Ozone","","06-113-1002","AQS"
"04/06/1980","39","Ozone","","06-113-1002","AQS"
"04/07/1980","33","Ozone","","06-113-1002","AQS"
"04/08/1980","37","Ozone","","06-113-1002","AQS"
"04/09/1980","38","Ozone","","06-113-1002","AQS"
"04/10/1980","39","Ozone","","06-113-1002","AQS"
"04/11/1980","37","Ozone","","06-113-1002","AQS"
"04/12/1980","87","Ozone","","06-113-1002","AQS"
"04/13/1980","84","Ozone","","06-113-1002","AQS"
"04/14/1980","37","Ozone","","06-113-1002","AQS"
"04/15/1980","34","Ozone","","06-113-1002","AQS"
"04/16/1980","105","Ozone","","06-113-1002","AQS"
"04/17/1980","51","Ozone","","06-113-1002","AQS"
"04/18/1980","47","Ozone","","06-113-1002","AQS"
