"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min","none"
DAVIS.A,19820101,800,0.10,,52,33,,,,,,,49,47,,143,,,,
DAVIS.A,19820102,800,0.34,R,50,36,,,,,,,49,48,,142,,,,
DAVIS.A,19820103,800,0.00,,44,30,,,,,,,49,47,,141,,,,
DAVIS.A,19820104,800,1.49,R,47,32,,,,,,,50,47,,129,,,,
DAVIS.A,19820105,800,2.56,R,49,38,,,,,,,49,47,,158,,,,
DAVIS.A,19820106,800,0.00,,45,33,,,,,,,49,47,,143,,,,
DAVIS.A,19820107,800,0.00,,47,30,,,,,,,49,47,,127,,,,
DAVIS.A,19820108,800,0.00,,52,26,,,,,,,49,47,,125,,,,
DAVIS.A,19820109,800,0.00,,55,29,,,,,,,50,47,,147,,,,
DAVIS.A,19820110,800,0.00,,54,26,,,,,,,50,48,,138,,,,
DAVIS.A,19820111,800,0.00,,57,29,,,,,,,50,48,,152,,,,
DAVIS.A,19820112,800,0.00,,56,30,,,,,,,50,48,,150,,,,
DAVIS.A,19820113,800,0.00,,47,28,,,,,,,50,47,,165,,,,
DAVIS.A,19820114,800,0.01,R,46,30,,,,,,,50,47,,160,,,,
DAVIS.A,19820115,800,0.01,R,49,36,,,,,,,49,47,,159,,,,
DAVIS.A,19820116,800,0.00,,40,35,,,,,,,49,47,,181,,,,
DAVIS.A,19820117,800,0.01,R,40,35,,,,,,,49,47,,173,,,,
DAVIS.A,19820118,800,0.00,,52,36,,,,,,,50,47,,170,,,,
DAVIS.A,19820119,800,0.05,,46,37,,,,,,,49,47,,178,,,,
DAVIS.A,19820120,800,0.35,R,45,39,,,,,,,49,47,,175,,,,
DAVIS.A,19820121,800,0.19,R,46,31,,,,,,,49,47,,170,,,,
DAVIS.A,19820122,800,0.00,,47,28,,,,,,,49,47,,161,,,,
DAVIS.A,19820123,800,0.00,,49,31,,,,,,,49,47,,165,,,,
DAVIS.A,19820124,800,0.00,,48,29,,,,,,,49,47,,186,,,,
DAVIS.A,19820125,800,0.00,,48,32,,,,,,,50,47,,192,,,,
DAVIS.A,19820126,800,0.18,R,55,38,,,,,,,50,48,,181,,,,
DAVIS.A,19820127,800,0.03,R,52,30,,,,,,,50,47,,192,,,,
DAVIS.A,19820128,800,0.15,R,48,32,,,,,,,50,47,,210,,,,
DAVIS.A,19820129,800,0.34,R,57,39,,,,,,,50,48,,207,,,,
DAVIS.A,19820130,800,0.00,,58,31,,,,,,,50,48,,196,,,,
DAVIS.A,19820131,800,0.00,,57,31,,,,,,,50,47,,198,,,,
DAVIS.A,19820201,800,0.00,,64,34,,,,,,,50,48,,213,,,,
DAVIS.A,19820202,800,0.00,,63,42,,,,,,,50,48,,209,,,,
DAVIS.A,19820203,800,0.00,,61,34,,,,,,,50,48,,218,,,,
DAVIS.A,19820204,800,0.00,,51,33,,,,,,,50,47,,241,,,,
DAVIS.A,19820205,800,0.00,,54,30,,,,,,,50,47,,240,,,,
DAVIS.A,19820206,800,0.00,,55,30,,,,,,,50,48,,211,,,,
DAVIS.A,19820207,800,0.00,,58,29,,,,,,,51,48,,209,,,,
DAVIS.A,19820208,800,0.00,,59,32,,,,,,,51,48,,216,,,,
DAVIS.A,19820209,800,0.00,,56,40,,,,,,,51,48,,248,,,,
DAVIS.A,19820210,800,0.00,,55,30,,,,,,,51,48,,247,,,,
DAVIS.A,19820211,800,0.00,,58,27,,,,,,,51,48,,239,,,,
DAVIS.A,19820212,800,0.00,,60,30,,,,,,,52,48,,224,,,,
DAVIS.A,19820213,800,0.07,R,54,36,,,,,,,52,49,,250,,,,
DAVIS.A,19820214,800,0.64,R,61,46,,,,,,,52,48,,269,,,,
DAVIS.A,19820215,800,1.03,R,60,52,,,,,,,51,48,,237,,,,
DAVIS.A,19820216,800,0.87,R,63,51,,,,,,,51,49,,226,,,,
DAVIS.A,19820217,800,0.00,,66,49,,,,,,,52,49,,242,,,,
DAVIS.A,19820218,800,0.00,,65,42,,,,,,,52,49,,263,,,,
DAVIS.A,19820219,800,0.00,,64,46,,,,,,,52,49,,239,,,,
DAVIS.A,19820220,800,0.00,,68,43,,,,,,,52,49,,262,,,,
DAVIS.A,19820221,800,0.00,,65,50,,,,,,,52,49,,249,,,,
DAVIS.A,19820222,800,0.00,,60,45,,,,,,,52,50,,286,,,,
DAVIS.A,19820223,800,0.00,,58,35,,,,,,,52,49,,288,,,,
DAVIS.A,19820224,800,0.00,,61,31,,,,,,,53,49,,276,,,,
DAVIS.A,19820225,800,0.00,,61,31,,,,,,,53,50,,298,,,,
DAVIS.A,19820226,800,0.00,,58,37,,,,,,,53,50,,276,,,,
DAVIS.A,19820227,800,0.02,DZ,63,48,,,,,,,53,50,,282,,,,
